Player,Birth Day,Birth Month,Birth Year,Birth Quarter
Malcolm Marx 1,13,July,1994,Q3
Bongi Mbonambi,7,January,1991,Q1
Steven Kitshoff,10,February,1992,Q1
Vincent Koch,13,March,1990,Q1
Frans Malherbe,14,March,1991,Q1
Ox Nché,23,July,1995,Q3
Trevor Nyakane,4,May,1989,Q2
Eben Etzebeth,29,October,1991,Q4
Jean Kleyn,26,August,1993,Q3
Franco Mostert,27,November,1990,Q4
Marvin Orie,15,February,1993,Q1
RG Snyman,29,January,1995,Q1
Pieter-Steph du Toit,20,August,1992,Q3
Deon Fourie,25,September,1986,Q3
Siya Kolisi (c),16,June,1991,Q2
Kwagga Smith,11,June,1993,Q2
Marco van Staden,25,August,1995,Q3
Duane Vermeulen,3,July,1986,Q3
Jasper Wiese,21,October,1995,Q4
Faf de Klerk,19,October,1991,Q4
Jaden Hendrikse,23,March,2000,Q1
Cobus Reinach,7,February,1990,Q1
Grant Williams,22,July,1996,Q3
Manie Libbok,15,July,1997,Q3
Handré Pollard 1,11,March,1994,Q1
Damian Willemse,7,May,1998,Q2
Lukhanyo Am 2,28,November,1993,Q4
Damian de Allende,25,November,1991,Q4
André Esterhuizen,30,March,1994,Q1
Jesse Kriel,15,February,1994,Q1
Kurt-Lee Arendse,17,June,1996,Q2
Cheslin Kolbe,28,October,1993,Q4
Makazole Mapimpi 2,26,July,1990,Q3
Canan Moodie,5,November,2002,Q4
Willie le Roux,18,August,1989,Q3
