No.,Player,Date of birth,Batting style,Bowling style,T20 Blast team
17,Ben Duckett,17 October 1994 (aged 29),Left-handed,Right-arm leg break,Nottinghamshire
18,Moeen Ali (vc),18 June 1987 (aged 36),Left-handed,Right-arm off spin,Warwickshire
22,Jofra Archer,1 April 1995 (aged 29),Right-handed,Right-arm fast,Sussex
23,Liam Livingstone,4 August 1993 (aged 30),Right-handed,Right-arm leg break,Lancashire
33,Mark Wood,11 January 1990 (aged 34),Right-handed,Right-arm fast,Durham
34,Chris Jordan,4 October 1988 (aged 35),Right-handed,Right-arm fast medium,Surrey
38,Reece Topley,21 February 1994 (aged 30),Right-handed,Left-arm medium fast,Surrey
51,Jonny Bairstow (wk),26 September 1989 (aged 34),Right-handed,—N/a,Yorkshire
58,Sam Curran,3 June 1998 (aged 25),Left-handed,Left-arm medium fast,Surrey
61,Phil Salt (wk),28 August 1996 (aged 27),Right-handed,Right-arm medium,Lancashire
63,"Jos Buttler (c, wk)",8 September 1990 (aged 33),Right-handed,—N/a,Lancashire
79,Tom Hartley,3 May 1999 (aged 25),Left-handed,Slow left-arm orthodox,Lancashire
85,Will Jacks,21 November 1998 (aged 25),Right-handed,Right-arm off spin,Surrey
88,Harry Brook,22 February 1999 (aged 25),Right-handed,Right-arm medium,Yorkshire
95,Adil Rashid,17 February 1988 (aged 36),Right-handed,Right-arm leg break,Yorkshire
