Player,Position,Date of birth (age),Caps,Club/province
Theo Dan,Hooker,26 December 2000 (aged 22),3,Saracens
Jamie George,Hooker,20 October 1990 (aged 32),79,Saracens
Jack Walker,Hooker,6 May 1996 (aged 27),4,Harlequins
Dan Cole,Prop,9 May 1987 (aged 36),102,Leicester Tigers
Ellis Genge (vc),Prop,16 February 1995 (aged 28),52,Bristol Bears
Joe Marler,Prop,7 July 1990 (aged 33),82,Harlequins
Bevan Rodd,Prop,26 August 2000 (aged 23),3,Sale Sharks
Kyle Sinckler,Prop,30 March 1993 (aged 30),63,Bristol Bears
Will Stuart,Prop,12 July 1996 (aged 27),29,Bath
Ollie Chessum,Lock,6 September 2000 (aged 23),11,Leicester Tigers
Maro Itoje,Lock,28 October 1994 (aged 28),70,Saracens
Courtney Lawes (vc),Lock,23 February 1989 (aged 34),100,Northampton Saints
George Martin,Lock,18 June 2001 (aged 22),3,Leicester Tigers
David Ribbans,Lock,29 August 1995 (aged 28),8,Toulon
Tom Curry,Back row,15 June 1998 (aged 25),45,Sale Sharks
Ben Earl,Back row,7 January 1998 (aged 25),18,Saracens
Lewis Ludlam,Back row,8 December 1995 (aged 27),21,Northampton Saints
Sam Underhill 3,Back row,22 July 1996 (aged 27),29,Bath
Jack Willis 3,Back row,24 December 1996 (aged 26),13,Toulouse
Billy Vunipola,Back row,3 November 1992 (aged 30),70,Saracens
Danny Care,Scrum-half,2 January 1987 (aged 36),90,Harlequins
Alex Mitchell 1,Scrum-half,25 May 1997 (aged 26),6,Northampton Saints
Jack van Poortvliet 1,Scrum-half,15 May 2001 (aged 22),14,Leicester Tigers
Ben Youngs,Scrum-half,5 September 1989 (aged 34),124,Leicester Tigers
Owen Farrell (c),Fly-half,24 September 1991 (aged 31),107,Saracens
George Ford,Fly-half,16 March 1993 (aged 30),85,Sale Sharks
Marcus Smith,Fly-half,14 February 1999 (aged 24),24,Harlequins
Elliot Daly,Centre,8 October 1992 (aged 30),59,Saracens
Ollie Lawrence,Centre,18 September 1999 (aged 23),14,Bath
Joe Marchant,Centre,16 July 1996 (aged 27),19,Stade Français
Manu Tuilagi,Centre,18 May 1991 (aged 32),53,Sale Sharks
Max Malins,Wing,7 January 1997 (aged 26),21,Bristol Bears
Jonny May 2,Wing,1 April 1990 (aged 33),72,Gloucester
Anthony Watson 2,Wing,26 February 1994 (aged 29),56,Unattached
Henry Arundell,Fullback,8 November 2002 (aged 20),8,Racing 92
Freddie Steward,Fullback,5 December 2000 (aged 22),26,Leicester Tigers
