No.,Player,Date of birth,Batting style,Bowling style,SA20 team
4,Aiden Markram (c),4 October 1994 (aged 29),Right-handed,Right-arm off spin,Sunrisers Eastern Cape
10,David Miller,10 June 1989 (aged 34),Left-handed,Right-arm off spin,Paarl Royals
12,Quinton de Kock (wk),17 December 1992 (aged 31),Left-handed,Slow left-arm orthodox,Durban's Super Giants
16,Keshav Maharaj,7 February 1990 (aged 34),Right-handed,Slow left-arm orthodox,Durban's Super Giants
17,Reeza Hendricks,14 August 1989 (aged 34),Right-handed,Right-arm off break,Joburg Super Kings
20,Anrich Nortje,16 November 1993 (aged 30),Right-handed,Right-arm fast,Pretoria Capitals
25,Kagiso Rabada,25 May 1995 (aged 29),Right-handed,Right-arm fast,MI Cape Town
26,Tabraiz Shamsi,18 February 1990 (aged 34),Right-handed,Left-arm unorthodox,Paarl Royals
30,Tristan Stubbs,14 August 2000 (aged 23),Right-handed,Right-arm off spin,Sunrisers Eastern Cape
41,Ottniel Baartman,18 March 1993 (aged 31),Right-handed,Right-arm fast medium,Sunrisers Eastern Cape
44,Ryan Rickelton (wk),11 July 1996 (aged 27),Left-handed,Slow left-arm orthodox,MI Cape Town
45,Heinrich Klaasen (wk),30 July 1991 (aged 32),Right-handed,Right-arm off spin,Durban's Super Giants
62,Gerald Coetzee,2 October 2000 (aged 23),Right-handed,Right-arm fast,Joburg Super Kings
70,Marco Jansen,1 May 2000 (aged 24),Right-handed,Left-arm fast,Sunrisers Eastern Cape
77,Bjorn Fortuin,21 October 1994 (aged 29),Right-handed,Slow left-arm orthodox,Paarl Royals
22,Lungi Ngidi†[a],29 March 1996 (aged 28),Right-handed,Right-arm fast,Paarl Royals
71,Nandre Burger†[a],11 August 1995 (aged 28),Left-handed,Left-arm fast,Joburg Super Kings
