Player,Position,Date of birth (age),Caps,Club/province
Malcolm Marx 1,Hooker,13 July 1994 (aged 29),63,Kubota Spears
Bongi Mbonambi,Hooker,7 January 1991 (aged 32),62,Sharks
Steven Kitshoff,Prop,10 February 1992 (aged 31),76,Ulster
Vincent Koch,Prop,13 March 1990 (aged 33),46,Sharks
Frans Malherbe,Prop,14 March 1991 (aged 32),63,Stormers
Ox Nché,Prop,23 July 1995 (aged 28),21,Sharks
Trevor Nyakane,Prop,4 May 1989 (aged 34),62,Racing 92
Eben Etzebeth,Lock,29 October 1991 (aged 31),113,Sharks
Jean Kleyn,Lock,26 August 1993 (aged 30),4,Munster
Franco Mostert,Lock,27 November 1990 (aged 32),67,Mie Honda Heat
Marvin Orie,Lock,15 February 1993 (aged 30),14,Perpignan
RG Snyman,Lock,29 January 1995 (aged 28),28,Munster
Pieter-Steph du Toit,Loose forward,20 August 1992 (aged 31),71,Toyota Verblitz
Deon Fourie,Loose forward,25 September 1986 (aged 36),7,Stormers
Siya Kolisi (c),Loose forward,16 June 1991 (aged 32),77,Racing 92
Kwagga Smith,Loose forward,11 June 1993 (aged 30),34,Shizuoka Blue Revs
Marco van Staden,Loose forward,25 August 1995 (aged 28),14,Bulls
Duane Vermeulen,Loose forward,3 July 1986 (aged 37),70,Unattached
Jasper Wiese,Loose forward,21 October 1995 (aged 27),23,Leicester Tigers
Faf de Klerk,Scrum-half,19 October 1991 (aged 31),49,Yokohama Canon Eagles
Jaden Hendrikse,Scrum-half,23 March 2000 (aged 23),13,Sharks
Cobus Reinach,Scrum-half,7 February 1990 (aged 33),26,Montpellier
Grant Williams,Scrum-half,22 July 1996 (aged 27),5,Sharks
Manie Libbok,Fly-half,15 July 1997 (aged 26),9,Stormers
Handré Pollard 1,Fly-half,11 March 1994 (aged 29),65,Leicester Tigers
Damian Willemse,Fly-half,7 May 1998 (aged 25),33,Stormers
Lukhanyo Am 2,Centre,28 November 1993 (aged 29),35,Sharks
Damian de Allende,Centre,25 November 1991 (aged 31),73,Saitama Wild Knights
André Esterhuizen,Centre,30 March 1994 (aged 29),14,Harlequins
Jesse Kriel,Centre,15 February 1994 (aged 29),62,Yokohama Canon Eagles
Kurt-Lee Arendse,Wing,17 June 1996 (aged 27),10,Bulls
Cheslin Kolbe,Wing,28 October 1993 (aged 29),26,Tokyo Sungoliath
Makazole Mapimpi 2,Wing,26 July 1990 (aged 33),39,Sharks
Canan Moodie,Wing,5 November 2002 (aged 20),8,Bulls
Willie le Roux,Fullback,18 August 1989 (aged 34),87,Bulls
